Year-Month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,Fatalities
2005-07-01,15,104.0,26.3,53,5.4,28.0,
2005-08-01,13,58.5,13.8,54,6.5,28.2,
2005-09-01,18,175.7,43.4,53,6.2,28.2,
2005-10-01,19,314.5,76.2,57,5.1,27.6,
2005-11-01,23,362.9,133.8,56,4.4,27.3,
2005-12-01,19,166.0,47.3,55,4.5,27.3,
2006-01-01,20,454.4,131.7,56,4.8,26.5,
2006-02-01,8,115.5,44.5,58,7.4,27.5,
2006-03-01,9,83.1,35.7,48,7.1,28.3,
2006-04-01,18,239.8,43.3,53,5.3,27.6,
2006-05-01,14,205.7,36.6,52,5.0,28.1,
2006-06-01,16,236.8,37.3,59,5.5,27.8,
2006-07-01,15,153.8,54.8,58,6.9,28.4,
2006-08-01,14,127.3,30.4,52,6.7,28.3,
2006-09-01,12,83.3,32.2,49,5.3,28.0,
2006-10-01,8,102.0,37.8,44,4.8,28.3,
2006-11-01,18,185.6,64.0,59,5.6,27.3,
2006-12-01,22,765.9,198.0,54,3.2,26.6,
2007-01-01,20,450.1,143.8,55,4.1,26.5,
2007-02-01,3,105.5,51.4,51,7.6,27.3,
2007-03-01,21,269.1,68.8,47,5.8,27.5,
2007-04-01,14,240.2,102.4,50,5.9,28.1,
2007-05-01,16,127.2,21.9,60,5.5,28.3,
2007-06-01,12,139.0,38.0,50,6.0,28.4,
2007-07-01,19,141.7,23.0,57,3.8,27.7,
2007-08-01,20,190.7,55.9,58,5.7,27.7,
2007-09-01,13,149.0,52.1,53,5.8,27.8,
2007-10-01,16,237.2,51.8,49,5.6,27.8,
2007-11-01,21,367.9,60.1,55,3.5,26.9,
2007-12-01,20,468.6,159.0,49,4.5,26.4,
2008-01-01,19,262.6,123.1,55,6.1,26.8,
2008-02-01,8,129.2,48.5,49,5.5,26.7,
2008-03-01,16,294.1,48.1,61,4.3,26.5,
2008-04-01,13,87.2,34.2,56,6.0,28.1,
2008-05-01,11,124.9,42.3,47,6.6,28.8,
2008-06-01,12,118.3,45.2,54,5.6,28.2,
2008-07-01,15,89.1,23.5,52,4.9,27.8,
2008-08-01,18,327.3,133.9,55,5.5,27.4,
2008-09-01,18,164.4,43.5,52,5.1,27.7,
2008-10-01,19,159.5,41.6,58,4.5,27.6,
2008-11-01,16,324.3,63.3,58,4.0,27.3,
2008-12-01,17,244.2,52.0,52,4.8,26.9,
2009-01-01,5,38.3,36.0,50,6.6,26.8,
2009-02-01,8,201.8,74.2,42,6.4,27.3,
2009-03-01,19,223.3,56.3,54,5.5,27.2,
2009-04-01,12,183.7,86.6,48,6.2,28.5,
2009-05-01,17,198.6,41.3,52,6.6,28.7,
2009-06-01,8,21.8,5.8,53,7.0,29.1,
2009-07-01,16,161.0,24.4,56,6.2,28.3,
2009-08-01,12,177.8,35.5,51,6.5,28.3,
2009-09-01,13,109.6,63.0,53,5.6,28.3,
2009-10-01,15,133.4,38.4,49,5.4,28.2,
2009-11-01,23,281.8,61.4,51,4.7,27.2,
2009-12-01,18,189.8,42.6,61,4.7,27.1,
2010-01-01,10,69.5,24.5,50,7.1,27.5,
2010-02-01,4,6.3,2.9,47,8.8,28.9,
2010-03-01,11,238.0,57.6,46,6.1,28.6,
2010-04-01,18,158.5,40.0,55,6.2,28.6,
2010-05-01,17,157.5,90.5,50,6.5,29.2,
2010-06-01,19,240.5,43.0,55,5.1,28.3,
2010-07-01,18,298.5,121.1,48,4.6,27.7,
2010-08-01,16,158.4,60.2,50,5.4,27.9,
2010-09-01,13,121.5,28.0,50,5.7,28.0,
2010-10-01,17,166.2,58.1,43,4.2,28.3,
2010-11-01,21,278.8,41.6,52,5.0,27.4,
2010-12-01,14,181.4,85.8,54,3.6,26.8,
2011-01-01,17,513.2,216.2,57,4.5,26.3,
2011-02-01,8,23.0,17.4,41,7.5,27.3,
2011-03-01,22,256.6,54.0,47,4.6,27.1,
2011-04-01,12,217.8,61.8,55,7.2,27.9,
2011-05-01,15,127.0,34.2,46,5.9,28.5,
2011-06-01,15,213.0,82.0,56,5.0,28.4,
2011-07-01,7,76.6,30.0,59,7.8,28.7,
2011-08-01,13,81.4,30.2,52,6.1,27.9,
2011-09-01,14,136.4,40.4,51,5.1,27.8,
2011-10-01,20,216.8,54.0,55,5.3,27.3,
2011-11-01,24,377.8,78.6,55,4.6,27.1,
2011-12-01,21,284.6,87.4,57,3.3,26.6,
2012-01-01,16,106.1,26.2,59,6.0,26.7,
2012-02-01,11,83.6,38.4,55,7.0,27.2,
2012-03-01,21,313.4,92.3,58,4.2,27.0,
2012-04-01,20,260.6,48.4,54,5.8,27.6,
2012-05-01,19,292.0,79.2,52,5.6,28.2,
2012-06-01,8,53.0,38.2,49,6.0,28.7,
2012-07-01,17,130.8,35.4,48,6.2,27.7,
2012-08-01,12,119.0,31.0,54,6.1,27.9,
2012-09-01,10,107.6,35.8,49,5.6,27.9,
2012-10-01,13,122.2,22.6,51,5.9,27.7,
2012-11-01,22,208.2,49.2,51,4.4,27.1,
2012-12-01,22,363.4,78.8,61,3.6,26.7,
2013-01-01,15,262.0,73.0,42,6.0,27.1,
2013-02-01,22,395.2,95.2,54,4.0,26.5,
2013-03-01,10,85.8,29.6,48,7.5,28.3,
2013-04-01,19,159.4,41.6,46,5.2,28.2,
2013-05-01,17,211.4,46.2,45,5.4,28.2,
2013-06-01,12,111.4,22.4,36,6.4,29.0,
2013-07-01,15,174.6,37.4,43,5.7,27.8,
2013-08-01,15,165.6,43.2,50,6.1,27.9,
2013-09-01,19,257.0,52.6,48,4.6,27.5,
2013-10-01,19,285.4,139.8,42,6.3,27.7,
2013-11-01,22,292.4,44.0,51,4.5,27.1,
2013-12-01,21,348.2,119.8,45,3.5,26.5,
2014-01-01,5,75.4,31.2,49,5.3,26.2,
2014-02-01,1,0.2,0.2,43,8.8,27.2,
2014-03-01,6,66.0,52.6,38,8.0,27.9,
2014-04-01,17,110.0,28.8,44,5.7,28.2,
2014-05-01,18,125.8,22.2,48,5.8,28.6,
2014-06-01,11,71.4,18.8,45,6.0,29.0,
2014-07-01,15,148.6,29.0,53,5.5,28.7,
2014-08-01,20,241.0,44.2,53,4.5,27.7,
2014-09-01,9,83.6,34.6,37,7.0,28.5,
2014-10-01,10,120.0,32.8,40,6.0,28.4,
2014-11-01,23,250.8,64.4,53,5.4,27.5,
2014-12-01,17,245.6,48.2,51,3.7,27.0,
2015-01-01,6,79.6,33.6,49,7.4,26.9,
2015-02-01,6,18.8,10.8,49,7.3,27.0,
2015-03-01,5,84.4,46.0,47,7.3,28.2,
2015-04-01,13,73.2,18.8,48,7.2,28.6,
2015-05-01,12,89.0,22.2,46,5.8,28.7,
2015-06-01,10,95.8,28.4,42,6.7,29.0,
2015-07-01,13,116.8,45.8,51,7.1,29.1,
2015-08-01,11,185.8,63.2,40,6.1,28.4,
2015-09-01,8,61.6,18.4,40,4.3,28.7,
2015-10-01,9,87.2,28.6,35,4.7,28.7,
2015-11-01,13,72.6,25.8,47,4.8,28.0,
2015-12-01,19,302.3,40.4,49,5.3,27.7,
2016-01-01,15,126.6,39.6,55,7.2,28.3,
2016-02-01,10,186.0,71.8,55,6.5,27.8,
2016-03-01,6,6.2,2.4,47,8.0,29.0,
2016-04-01,14,89.8,18.2,46,7.0,29.4,
2016-05-01,12,193.8,54.8,48,6.2,29.3,
2016-06-01,13,162.8,67.8,45,5.4,28.5,
2016-07-01,20,168.6,59.4,48,6.3,28.4,
2016-08-01,15,139.2,30.6,41,6.7,28.9,
2016-09-01,15,118.9,34.0,33,5.5,28.3,
2016-10-01,16,181.0,75.4,38,4.6,28.3,
2016-11-01,20,290.2,65.6,46,3.5,27.4,
2016-12-01,23,292.6,73.0,34,5.1,27.4,
2017-01-01,21,197.6,60.6,44,4.8,26.9,
2017-02-01,15,158.4,31.0,59,7.1,26.9,
2017-03-01,11,136.2,30.2,52,6.1,27.4,
2017-04-01,21,208.6,42.8,50,5.3,27.8,
2017-05-01,15,190.0,44.8,57,5.9,28.5,
2017-06-01,10,106.0,29.6,51,6.3,28.5,
2017-07-01,9,79.6,30.2,57,7.0,28.3,
2017-08-01,18,84.2,29.4,54,6.1,28.1,
2017-09-01,19,124.4,20.2,55,5.7,28.0,
2017-10-01,18,120.8,31.2,45,5.5,27.9,
2017-11-01,24,268.6,45.2,60,4.2,27.1,
2017-12-01,23,371.2,69.8,51,5.6,27.0,
2018-01-01,25,287.0,45.8,44,4.1,26.1,
2018-02-01,5,14.8,13.0,49,8.0,27.2,
2018-03-01,10,44.6,15.2,49,6.4,28.0,
2018-04-01,14,61.2,14.0,39,6.8,28.5,
2018-05-01,19,132.2,47.4,43,5.8,28.7,
2018-06-01,17,182.6,46.8,51,4.1,28.4,
2018-07-01,10,143.2,32.4,50,6.1,28.5,
2018-08-01,11,121.6,34.6,39,6.7,28.5,
2018-09-01,13,144.4,45.0,48,6.0,28.0,
2018-10-01,18,234.4,60.6,33,6.1,27.9,
2018-11-01,27,169.6,20.6,53,3.8,27.3,
2018-12-01,19,172.6,43.8,47,5.1,27.6,
2019-01-01,9,63.6,38.2,47,7.1,28.0,
2019-02-01,5,31.6,13.4,46,9.2,28.2,
2019-03-01,6,72.2,29.0,40,8.3,28.7,
2019-04-01,9,174.8,52.4,48,5.9,28.6,
2019-05-01,13,69.0,17.2,52,7.0,29.3,
2019-06-01,16,173.8,37.6,47,5.3,28.4,
2019-07-01,8,12.2,6.6,45,7.5,29.0,
2019-08-01,6,11.8,3.8,35,7.6,29.1,
2019-09-01,4,22.8,16.4,37,6.7,29.0,
2019-10-01,15,176.8,92.2,38,6.5,28.1,
2019-11-01,15,137.4,73.4,45,5.5,28.0,
2019-12-01,14,421.5,74.2,47,4.8,26.7,
2020-01-01,6,88.4,38.0,43,7.1,27.7,
2020-02-01,8,65.0,23.8,45,8.3,27.9,
2020-03-01,8,108.8,47.4,44,7.6,28.6,
2020-04-01,12,188.0,51.8,46,7.1,28.9,
2020-05-01,16,255.6,53.8,50,5.7,28.9,
2020-06-01,21,233.8,41.0,53,4.3,28.1,
2020-07-01,22,140.8,30.4,53,5.7,27.9,
2020-08-01,12,103.4,34.6,41,6.4,28.3,
2020-09-01,18,150.2,32.8,48,4.8,27.5,
2020-10-01,16,78.8,19.0,44,4.3,28.3,
2020-11-01,19,220.6,64.2,49,4.0,27.2,
2020-12-01,20,253.2,58.2,49,5.2,27.2,
2021-01-01,17,692.8,210.6,55,4.2,26.0,
2021-02-01,2,1.0,0.6,46,8.2,27.3,3.0
2021-03-01,14,182.4,38.0,42,7.3,27.9,
2021-04-01,14,290.4,83.8,43,6.8,28.2,1.0
2021-05-01,13,245.8,49.8,49,6.0,28.7,2.0
2021-06-01,20,93.4,23.8,42,6.5,28.5,1.0
2021-07-01,12,195.8,75.0,48,6.8,28.6,1.0
2021-08-01,24,293.6,71.4,51,4.8,27.6,
2021-09-01,14,205.4,63.4,45,6.4,28.3,1.0
2021-10-01,14,177.0,59.6,45,6.2,28.5,1.0
2021-11-01,23,312.4,47.8,41,4.9,27.6,2.0
2021-12-01,15,119.6,46.8,47,5.4,27.7,1.0
2022-01-01,9,99.8,50.0,49,8.3,27.4,
2022-02-01,16,175.0,29.6,51,5.9,27.3,1.0
2022-03-01,21,163.2,36.2,48,6.4,28.1,2.0
2022-04-01,18,239.6,58.8,51,5.2,28.1,2.0
2022-05-01,12,102.0,44.6,41,6.7,29.2,3.0
2022-06-01,17,211.8,59.4,54,4.7,27.9,2.0
2022-07-01,16,145.2,27.8,53,6.2,28.6,2.0
